id,firm,email,email_type,verification_status,conversion_estimate,score,outreach_mode,harsh_free_pilot_acceptance_pct,harsh_paid_conversation_pct,subject,personalization_hook,source
L-0381,Carbon Futures,enquiries@carbonfutures.co.uk,generic,verified,High,158,free_pilot,1.60%,0.00%,Run one retrofit and building performance consultancy tender through Bidframe?,SPA Retrofit and Decarbonisation N9 framework guide lists Carbon Futures,carbonfutures.co.uk; scottishprocurement.scot/all-frameworks/retrofit-and-decarbonisation-n9
L-0383,Advanced IT Services,hello@advanceditservices.co.uk,team,verified,High,158,free_pilot,1.60%,0.00%,Could I map one school ICT MSP tender?,DfE-approved Everything ICT and KCS Procurement frameworks,aitn.co.uk/it-for-education; aitn.co.uk/contact
L-0384,Redway Networks,info@redwaynetworks.com,team,verified,High,158,free_pilot,1.60%,0.00%,Run one education WiFi and networking tender through Bidframe?,Everything ICT approved supplier and DfE-compliant school procurement,redwaynetworks.com/blog/everything-ict-suppliers-to-education; redwaynetworks.com/contact-us
L-0386,Stream Networks,hello@streamnetworks.co.uk,team,verified,High,158,free_pilot,1.60%,0.00%,Could I map one school broadband and connectivity tender?,Everything ICT pre-approved supplier with direct award / mini-competition route,streamnetworks.co.uk/everything-ict-framework
L-0392,RedEverywhere Group,hello@redeverywhere.co.uk,team,verified,High,158,free_pilot,1.60%,0.00%,Could I map one creative AP and learning hubs tender?,"Doncaster LA AP Framework, Lots 1, 2 and 7",redeverywhere.co.uk/contact; doncaster.gov.uk/services/schools/local-offer-ap-and-pru
L-0393,David Barber Occupational Health,enquiries@dbocchealth.com,team,verified,High,158,free_pilot,1.60%,0.00%,Run one occupational health tender through Bidframe?,CCS/GCA RM6296 occupational health supplier,dbocchealth.com/case-studies/high-blood-pressure; supplierregistration.cabinetoffice.gov.uk/dps-suppliers/RM6296
L-0398,Connecture,hello@connecture.co.uk,team,verified,High,158,free_pilot,1.60%,0.00%,Could I map one school ICT infrastructure tender?,Everything ICT Framework approved supplier with school/public-sector ICT procurement route,connecture.co.uk; connecture.co.uk/blog.php; linkedin.com/posts/connecture-ltd_publicsector-ict-procurement-activity-7451868759163662336-g4EN
L-0400,Asbestech Limited,solutions@asbestech.com,team,verified,High,158,free_pilot,1.60%,0.00%,Free check on one asbestos and hazard removal tender?,ProcurePublic Asbestos Removal Services Framework and DPS Supporting Compliance and Maintenance supplier,asbestech.com; asbestech.com/contact; procurepublic.co.uk/supplier/asbestech-limited
L-0021,Care at Home Group,sthelenscare@cahg.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one care tender through Bidframe?,St Helens Domiciliary Care Approved List 2025/26,St Helens Council care provider list PDF
L-0022,Lumina Care,CareCoordinator@luminacare.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one care tender?,St Helens Domiciliary Care Approved List 2025/26,St Helens Council care provider list PDF
L-0026,Computeam,info@computeam.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one it-msp tender?,academy-trust/MAT ICT managed service,computeam.co.uk/contact
L-0030,Primary Technology,hello@primaryt.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one it-msp tender through Bidframe?,academy-trust/MAT ICT managed service,primaryt.co.uk/contact
L-0042,Fareport Training,info@fareport.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one training tender through Bidframe?,Skills Bootcamps / DPS2,https://www.fareport.co.uk/contact-us/
L-0043,Runway Training,enquiries@runwaytraining.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one training tender?,Skills Bootcamps / DPS2,https://www.ukrlp.co.uk/ukrlp/ukrlp_provider.page_pls_provDetails?pn_p_id=10049149&pv_status=VERIFIED&pv_vis_code=L
L-0148,Prism Linguistics,info@prismlinguistics.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one translation tender?,"NHS trusts, HMCTS, Home Office, police/probation and local authority interpreting work",https://www.prismlinguistics.co.uk/luo-interpreter.html
L-0153,Tree Technique Ltd,info@treetechnique.com,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one arboriculture tender through Bidframe?,"housing associations, MOD contracts, local authorities, construction, and Test Valley Borough Council work",https://treetechnique.com/commercial/tree-surgery/; https://treetechnique.com/commercial/team-profiles/
L-0156,Don's Coaches Dunmow Ltd,info@donscoaches.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one school transport tender through Bidframe?,Local Education Authority and school transport contracts,https://www.donscoaches.co.uk/contact-3-1; https://www.donscoaches.co.uk/home-to-school; https://www.donscoaches.co.uk/school-travel-information
L-0159,Price & Buckland,sales@price-buckland.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one school uniform tender through Bidframe?,"school, academy and MAT uniform/sportswear supplier agreements",https://price-buckland.co.uk/
L-0161,Glendale (UK),enquiries@glendaleuk.com,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one educational furniture tender?,"primary, secondary, SEN/specialist schools, MATs and local authority education furniture supply",https://glendaleuk.com/contact-us/; https://glendaleuk.com/educational-furniture-suppliers-for-uk-schools/; https://uk.linkedin.com/company/glendale-interiors
L-0167,Aquatrust Water & Ventilation Ltd,enquiries@aquatrust.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one water hygiene tender?,North Yorkshire Council water safety partner plus housing association water compliance services,https://www.aquatrust.co.uk/contact/; https://www.aquatrust.co.uk/legionella-testing-in-york/; https://www.aquatrust.co.uk/services-by-sector/housing-associations/; https://uk.linkedin.com/company/aquatrust-water-%26-air-solutions
L-0168,Midland Fire Security Services Ltd,info@midlandfire.com,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one fire safety maintenance tender through Bidframe?,"local councils, local authorities, schools, libraries, council offices and social housing fire-safety work",https://www.midlandfiresecurity.co.uk/contact/; https://www.midlandfiresecurity.co.uk/sectors/local-councils/; https://uk.linkedin.com/company/midland-fire-security-services-limited
L-0173,Secure Access Solutions Ltd,info@secureaccesssolutions.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,Could I map one automatic gates tender?,"school gates, fencing, academy trusts, DBS engineers, BS EN 12453 compliance and 24/7 call-out",https://www.secureaccesssolutions.co.uk/schools-service/; https://www.secureaccesssolutions.co.uk/automatic-gate-safety-in-schools/
L-0174,Drainstore Service & Install,servicing@drainstore.com,domain,verified,High,152,free_pilot,1.60%,0.00%,Run one drainage maintenance tender through Bidframe?,housing association and local authority off-mains drainage contracts,https://drainstoreinstallation.co.uk/contact/; https://drainstoreinstallation.co.uk/sectors/housing-associations-local-authorities/; https://uk.linkedin.com/company/drainstore
L-0184,AutoGate Services & Installation Ltd,info@autogateservices.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one automated gates, barriers and access-control servicing tender?",DHF automated gates/barriers/traffic barriers listing; school campus servicing and repair/maintenance relevance,https://www.dhfonline.org.uk/enquiry.htm?id=524&ref=1217; https://www.autogateservices.co.uk/gate-servicing/; https://www.autogateservices.co.uk/contact/; https://www.linkedin.com/company/autogate-services/
L-0191,Carbon3 Ltd,info@carbon3.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one solar PV, ASHP, EV charging, battery, social-housing retrofit tender?","social housing, public sector, education and health retrofit; 5,000+ social homes; NHS SBS Decarbonisation of Estates Framework",https://carbon3.co.uk/; https://carbon3.co.uk/social-housing/; https://uk.linkedin.com/company/carbon3-ltd
L-0196,KDE Catering Equipment,sales@kdecateringequipment.com,domain,verified,High,152,free_pilot,1.60%,0.00%,Free check on one school tender?,"school canteen and kitchen equipment supply, installation and maintenance; school and catering-provider references",https://www.kdecateringequipment.com/commercial-catering-equipment-for-schools/
L-0203,Ecolution Group Ltd,enquiries@ecolutiongroup.com,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one renewable energy installation and maintenance, heating, solar, district heating tender?","public-sector renewables framework appointee; social, residential, commercial, private and public sectors",https://www.nationalframeworkpartnership.co.uk/supplier/ecolution-group-limited/; https://www.ecolutiongroup.com/contact/
L-0219,Warmer Energy Solutions,info@warmerenergysolutions.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one social-housing retrofit, ASHP, insulation, solar and battery tender through Bidframe?","Warm Homes Social Housing Fund delivery partner; Procure Plus retrofit framework; PAS2035, MCS, NICEIC, SafeContractor, Constructionline Gold",https://warmerenergy.co.uk/warm-homes-social-housing-fund/; https://uk.linkedin.com/company/warmer-energy-solutions
L-0223,Mainlink Maintenance Ltd,contact@mainlinkmaintenance.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one fire door installation, inspection, maintenance and fire stopping tender?","BM TRADA Q-Mark, CHAS, ISO; trusted by housing associations and councils including Liverpool City Council and housing providers",https://mainlinkmaintenance.co.uk/fire-door-installation-safety/; https://uk.linkedin.com/company/mainlink-maintenance-limited
L-0225,FireAct Ltd / Shire Group,sales@shiregroupltd.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one passive fire protection, fire stopping, fire doors and compartmentation tender through Bidframe?","Q-Mark, Constructionline Gold, NHS and Coventry University logos; healthcare, education, social care, social housing and CIF bid support for schools/MATs",https://fireactltd.co.uk/; https://uk.linkedin.com/company/shire-group
L-0226,OJ Fire Protection / OJ Building Services,enquiries@ojbs.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one passive fire protection, fire stopping, compartmentation and fire door surveys tender?","FIRAS, Constructionline Silver, SafeContractor, ASFP; public-sector clients and Settle Social Housing project",https://www.ojbs.co.uk/; https://www.linkedin.com/company/oj-building-services-ltd/
L-0227,SN Carpentry & Firedoors,info@sncarpentry.com,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one fire door installation, maintenance, inspections and remedials tender?","BM Trada, SafeContractor, CSCS; housing providers/local authorities, healthcare/NHS-style settings and education sector pages",https://www.sncarpentry.co.uk/contact; https://www.sncarpentry.co.uk/sectors/housing; https://www.sncarpentry.co.uk/sectors/healthcare; https://www.sncarpentry.co.uk/sectors/education
L-0228,Blue Chip PFP Ltd,info@bluechippfp.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one passive fire protection, surveys, fire stopping and fire door remediation tender through Bidframe?","FIRAS, SafeContractor, Constructionline, ASFP; social housing/local-authority and schools/universities pages",https://www.bluechippfp.co.uk/contact/; https://www.bluechippfp.co.uk/sectors/social-housing-and-residential-blocks/; https://www.bluechippfp.co.uk/sectors/education-schools-and-universities/; https://www.linkedin.com/company/blue-chip-pfp-ltd
L-0230,Midlands Catering Equipment,sales@midlandscateringequipment.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one school kitchen installation, catering equipment, gas regulations, cold rooms and ventilation tender?","school/commercial kitchen projects across public sector, hospitals, schools, universities, prisons and care homes; SafeContractor, CHAS and Gas Safe",https://www.midlandscateringequipment.co.uk/contact-us/; https://www.midlandscateringequipment.co.uk/are-you-using-the-right-contractor-for-your-school-kitchen-project/; https://www.midlandscateringequipment.co.uk/commercial-kitchen-gas-regulations/; https://www.midlandscateringequipment.co.uk/commercial-catering-facilities-in-public-sector/
L-0241,Midsummer Fire Protection Ltd,info@midsummerfirepro.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one fire stopping, fire doors, compartmentation and passive fire surveys tender?","schools, hospitals, housing associations, science centres and universities referenced in sector material",https://midsummerfirepro.co.uk/about-us/; https://uk.linkedin.com/company/midsummer-fire-protection
L-0245,Orestone Fire Protection Ltd,sales@orestonefp.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one fire stopping, fire barriers, structural fire protection and cladding remediation tender?","public article references city councils, NHS, MOD, housing associations and universities; site lists certified services",https://www.orestonefireprotection.co.uk/; https://internationalfireandsafetyjournal.com/orestone-fire-protection-confident-construction/; https://uk.linkedin.com/company/orestone-fire-protection-ltd
L-0247,Fulwood Roofing Services,enquiries@fulwoodroofing.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Free check on one flat roofing, waterproofing, school and NHS roof works tender?",education portfolio shows multiple schools; homepage references Wythenshawe Hospital and school projects,https://www.fulwood-roofing.co.uk/portfolio_category/education/; https://www.fulwood-roofing.co.uk/
L-0248,Premier Roofing & Construction / PRC Ltd,contact@prclimited.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Could I map one public-sector roofing, roof repairs and flat roofing tender?","dedicated councils, housing, public-sector and tender-to-completion roofing pages",https://www.prclimited.co.uk/; https://www.prclimited.co.uk/contact-us; https://www.prclimited.co.uk/public-sector-roofing-tender-to-completion; https://www.prclimited.co.uk/public-sector-roofing-contractor; https://uk.linkedin.com/company/premier-roofing-and-construction-ltd
L-0249,Enviroply Roofing Ltd,enquiries@enviroplyroofing.co.uk,domain,verified,High,152,free_pilot,1.60%,0.00%,"Run one flat roofing, single-ply roofing and liquid waterproofing tender through Bidframe?","local authorities, education, social housing, healthcare and public-sector projects referenced",https://www.enviroplyroofing.co.uk/; https://find-and-update.company-information.service.gov.uk/; https://uk.linkedin.com/company/enviroply-roofing
