id,text,type,is_gating,source_page,source_clause,notes
b35,"The successful contractor shall deliver the scope of services as itemised, and shall not delegate any duties or obligations except as expressly permitted under the agreement.",mandatory,no,10,Appendix A / Contractor's Responsibilities 1-2,
b36,"The Contractor shall indemnify and keep indemnified the Council against any loss, damage or liability (criminal or civil) and legal costs resulting from a breach of the agreement or any act, neglect or default of the Contractor's employees or agents.",mandatory,no,10,Appendix A / Contractor's Responsibilities 3,
b37,The Contractor shall produce for inspection an insurance certificate showing the required insurance cover is being maintained.,mandatory,no,10,Appendix A / Contractor's Responsibilities 4,
b38,The Contractor shall comply with the terms of any Notice specifying a breach of the agreement and requiring the breach to be remedied.,mandatory,no,10,Appendix A / Contractor's Responsibilities 5,
b39,"The Contractor shall maintain the hedges, grass, redways, allotment paths, flower beds and planters across the listed sites (King George's Field, Sports Pavilion/Orchard, Moat House, St Lawrence/Castle/Glebe, Heelands Meeting Place & Parish Office, Heelands West Allotments, Fosters Lane Allotments, Bradwell Common Planters) at the frequencies and in the manner specified per site plan.",mandatory,no,11,Appendix B,condensed from the site-by-site technical schedule pp.11-24
b40,"New plants planted at Heelands Meeting Place / Parish Office / Bradwell Common planters must be authorised in advance by the Parish Clerk/Council, and both plants and planting labour are paid at extra cost to the contract price.",mandatory,no,13,Appendix B,
b41,Unsatisfactory scores (0-2) for any quality criterion will result in the tender being rejected.,mandatory,yes,25,Appendix C / Scoring,explicit rejection on unsatisfactory score
b42,"Suitable references and contract details must be provided, and tenderers must satisfy the mandatory criteria (Health & Safety, Insurance, References) before their bid will be considered further.",mandatory,yes,28,Response Pack 2,pass/fail mandatory gate before further consideration
b43,"Tenderers must provide their Health & Safety Management System documentation, any H&S accreditations and staff qualifications, details of any HSE/local-authority enforcement action in the past 3 years, and any HSE-reportable accidents in the last 3 years with remedial action.",mandatory,no,28,Response Pack 2.1,
b44,"Tenderers must detail their insurance cover (insurer, policy number, amount, expiry) for Employers Liability (minimum £10,000,000) and Public Liability (minimum £5,000,000), and disclose any claims over £50,000 in the last 3 years.",mandatory,no,28,Response Pack 2.2,
b45,"Tenderers must supply Method Statements (one for each requirement) demonstrating a clear appreciation of the brief, methodology and best practice to deliver the programme and individual tasks.",mandatory,no,28,Response Pack 3,
b46,"The tenderer must complete and submit the Form of Tender (an unconditional and irrevocable offer, held open for the period up to 31 August 2025), signed and dated.",mandatory,no,29,Response Pack 4 / Form of Tender,
b47,"If the Tender is accepted the tenderer will, on demand, produce evidence that all relevant insurances and compliance certificates are held and in force, and sign formal contract documentation if required.",mandatory,no,30,Form of Tender 2,
b48,Tenderers must read and confirm the four mandatory pricing statements before submitting prices; failure to confirm acceptance will remove the Tenderer from consideration and their bid will not be scored further.,mandatory,yes,31,Response Pack 5.1,explicit removal-from-consideration disqualifier
b49,"Tenderers are to complete and submit the Schedule of Rates for landscape maintenance, and (if qualified) the Schedule of Rates for tree works including hourly rates for pruning, trimming, crown lifting and felling.",mandatory,no,31,Response Pack 5.2-5.3,
b50,"The tenderer must complete and sign the Collusive Bidding Certificate (Certificate of Non-Collusion and Non-Canvassing), certifying the Tender is bona fide and that prices have not been fixed or disclosed and no inducements offered.",mandatory,no,31,Response Pack 6,
b51,"If the Tenderer is a subsidiary company, it must complete the Guarantee Undertaking by which the ultimate holding company undertakes to execute a Deed of Guarantee and Indemnity if requested by the Council.",mandatory,no,32,Response Pack 7,conditional on being a subsidiary
b52,"The tenderer must complete and sign the Freedom of Information Disclosure Form, stating any information it does not wish disclosed together with the relevant timescale.",mandatory,no,33,Response Pack 8,
