id,text,type,is_gating,source_page,source_clause,notes
REQ-033,"Brass polish finger plates, kick plates, stairs, letter box and logo plate, as required.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-034,"Elevator to be polished with relevant steel cleaner, mirror to be cleaned and polished smear free.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-035,"Any chair seats, arms and lower legs to be wiped clean free of dust.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-036,"Reception area, upholstered furnishings to be lightly vacuumed.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Daily,
REQ-037,"Fixtures and fittings, ledges, windowsills and skirting to be damp wiped.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-038,"All hard surfaced (horizontal and vertical) and exposed surfaces to be free of dust.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-039,"Remove black marks and scuff marks from walls and floor where appropriate.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-040,"Fire extinguishers to be dusted and damp wiped.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-041,"Dust in between stair railings and wash all white paint work on each landing.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-042,"All doors, and their handles and finger plates, to be spray cleaned, damp wiped and dried.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-043,"Waste bins are to be cleaned and sanitised, inside and out, where appropriate.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-044,"High dust, up to 6ft, all areas including light fittings and pictures where possible.",Specification,true,Appendix 1 p.1,Entrance/Reception/Stairs – Monthly,
REQ-045,"Vacuum all carpeted areas paying attention to edges and under desks.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-046,"Vacuum chair upholstery, as required.",Specification,false,Appendix 1 p.2,Office Areas – Daily,As required
REQ-047,"Wastepaper bins to be emptied, bin liners replenished as required – waste to disposal point.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-048,"All clutter free desks (or around items where possible) are to be dusted with a damp cloth and polished dry – removing coffee stains & finger marks. No chemical use.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-049,"Spot clean/polish any glass panelling on any interior doors, tables or furnishings.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-050,"Spot clean carpet stains with pro-clean as required – advise client if entire carpet needs cleaning.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-051,"Dry wipe computer monitor with microsoft cloth and dust the hard drive as required.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-052,"Sterilise telephone handsets and receiver.",Specification,true,Appendix 1 p.2,Office Areas – Daily,
REQ-053,"Fixtures and fittings, ledges, windowsills and skirting/s to be dusted/damp wiped. All hard surfaces (vertical/horizontal) and exposed surfaces to be free of dust and debris.",Specification,true,Appendix 1 p.2,Office Areas – Monthly,
REQ-054,"Upholstered furnishings to be lightly vacuumed as required.",Specification,false,Appendix 1 p.2,Office Areas – Monthly,As required
REQ-055,"High level dusting – up to 6ft – to remove webs, dust from tops of doors & pictures.",Specification,true,Appendix 1 p.2,Office Areas – Monthly,
REQ-056,"Chair & table legs and desk drawers/cabinets damp wiped or as appropriate - check spillages.",Specification,true,Appendix 1 p.2,Office Areas – Monthly,
REQ-057,"Waste bins are to be cleaned and sanitised, inside and out, where appropriate.",Specification,true,Appendix 1 p.2,Office Areas – Monthly,
REQ-058,"Appliances (fridge, kettle, toasters, microwave, water dispenser) are to be spray cleaned and damp wiped down externally.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-059,"All, non-recycle, waste bins to be emptied and replenished, fully cleaned and sanitised externally. Damp wipe surrounding area to remove splash marks. Check and clean inside the bin, as required.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-060,"Collect cups from kitchen and load dishwasher or wash by hand as required. Un-load and dry, checking stains are removed, locating cups to kitchen cupboard.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-061,"Run cycle on dishwasher, to remove grease build up.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-062,"Wash and sanitise all drink/food prep area and dry wipe all hard surfaces including kitchen table.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-063,"Sinks, draining boards and taps to be thoroughly cleaned and dry buffed to shine.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-064,"Hard floors are to be brush vacuumed, washed with detergent to degrease and sanitise.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-065,"Check cupboard units, handles, drawers - spot clean as required.",Specification,true,Appendix 1 p.3,Kitchen – Daily,
REQ-066,"Appliances (fridge & microwave) are to be wiped down internally removing spillages.",Specification,true,Appendix 1 p.3,Kitchen – Weekly,
REQ-067,"Check inside cupboard units and drawers, clean as required.",Specification,true,Appendix 1 p.3,Kitchen – Weekly,
REQ-068,"High level dusting – up to 6ft – to remove webs, dust from tops of doors & pictures.",Specification,true,Appendix 1 p.3,Kitchen – Weekly,
REQ-069,"Fixtures and fittings, ledges, windowsills and skirting/s to be dusted/damp wiped. All hard surfaces (vertical/horizontal) and exposed surfaces to be free of dust and debris.",Specification,true,Appendix 1 p.3,Kitchen – Monthly,
REQ-070,"Remove out of date food from fridge and sanitise all interiors, polish dry all exteriors.",Specification,true,Appendix 1 p.3,Kitchen – Monthly,
REQ-071,"All waste bins to be emptied and replenished, fully cleaned and sanitised, inside and out. Damp wipe surrounding area to remove soap splash marks.",Specification,true,Appendix 1 p.4,Toilets – Daily,
REQ-072,"Disinfect and wipe seat area with colour coded cloth and cover lid, paying attention to the back of the toilet seat area and all flushable handles. Dry wipe and polish with a new cloth until fully sanitised.",Specification,true,Appendix 1 p.4,Toilets – Daily,
REQ-073,"Use toilet cleaner in bowl, brush and leave overnight. If chemical is stronger, flush.",Specification,true,Appendix 1 p.4,Toilets – Daily,
REQ-074,"Spray clean sink, with a new colour code cloth, to disinfect taps and all hard surface areas and polish dry.",Specification,true,Appendix 1 p.4,Toilets – Daily,
REQ-075,"Check & replenish soaps, toiletries and all janitorial materials (toilet paper etc) as required.",Specification,true,Appendix 1 p.4,Toilets – Daily,
REQ-076,"Sweep/brush vacuum and wash all floor area with disinfectant.",Specification,true,Appendix 1 p.4,Toilets – Daily,
REQ-077,"Tiled wall surfaces to be damp wiped and dried.",Specification,true,Appendix 1 p.4,Toilets – Weekly,
REQ-078,"Disinfect and polish all glass and mirrors to a shine.",Specification,true,Appendix 1 p.4,Toilets – Weekly,
REQ-079,"Disinfect and dry door handles.",Specification,true,Appendix 1 p.4,Toilets – Weekly,
REQ-080,"Remove dust and sanitize all dispensers and skirtings.",Specification,true,Appendix 1 p.4,Toilets – Weekly,
REQ-081,"Cubicle wall, partitions and doors to be spot cleaned as required.",Specification,false,Appendix 1 p.4,Toilets – Weekly,As required
REQ-082,"Polish and sanitise all light fittings and fixtures including pipe works.",Specification,true,Appendix 1 p.4,Toilets – Monthly,
REQ-083,"Check front and rear external areas for build-up of rubbish and sweep brush area, collecting debris and bagging this for disposal.",Specification,true,Appendix 1 p.5,Ground Maintenance – Monthly,
REQ-084,"Sweep or wash front entrance steps, removing dust and debris, as required.",Specification,true,Appendix 1 p.5,Ground Maintenance – Monthly,
REQ-085,"Discuss with client additional requirements to remove weeds and jet washing the stone slabs and walls, removing dirt accumulation.",Specification,false,Appendix 1 p.5,Ground Maintenance – Bi-Annual,Discussion/on-demand basis
REQ-086,"Bag all black rubbish bags in grey council bags and store at rear basement exit until collection days, where the grey bags are put out by the front gate for collection overnight.",Specification,true,Appendix 1 p.5,Rubbish Disposal – Mon & Thu 6:45,
REQ-087,"Collect all empty boxes/cardboard from each level, unfold and tie bundles together with tape provided. Store in plant room.",Specification,true,Appendix 1 p.5,Rubbish Disposal,
REQ-088,"All cleaning materials and laundry",Commercial,true,Appendix 1 p.5,Services Included,Provider to supply
REQ-089,"All cleaning equipment & maintenance",Commercial,true,Appendix 1 p.5,Services Included,Provider to supply
REQ-090,"Hand-drier Service",Commercial,true,Appendix 1 p.5,Services Included,Provider to supply
REQ-091,"Janitorial supplies – includes: Toilet Paper, Hand towels, Hand Soap, Dishwasher tablets, Washing up liquid",Commercial,true,Appendix 1 p.5,Services Included,Provider to supply
REQ-092,"Information obtained by the Ombudsman or any of the Ombudsman's advisers in connection with any matter in respect of which a complaint or a request has been made must not be disclosed except for any of the purposes specified in subsection (2) or as permitted by subsection (3).",Compliance,true,Appendix 2,s.19(1) SPSO Act 2002,Contractor bound by this confidentiality obligation
